"voto","quando"
"3","12/27/25 21:09:56"
"2","12/5/25 09:58:40"
"2","11/22/25 05:18:57"
"1","11/19/25 20:46:22"
"2","11/19/25 19:36:30"
"3","11/13/25 04:24:50"
"5","11/12/25 07:49:08"
"4","11/8/25 00:49:49"
"4","9/20/25 10:04:12"
"5","9/17/25 06:59:23"
"3","9/6/25 17:09:58"
"3","9/1/25 17:03:07"
"3","9/1/25 07:00:14"
"3","8/26/25 08:58:00"
"2","8/1/25 23:33:34"
"2","8/1/25 02:33:46"
"3","7/31/25 23:00:24"
"4","7/31/25 17:07:40"
"5","7/31/25 11:26:58"
"4","7/27/25 18:51:56"
"5","7/27/25 11:07:52"
"3","7/20/25 19:26:48"
"5","3/29/25 09:22:44"
"4","1/11/25 16:48:22"
"5","12/28/24 20:53:03"
"2","12/23/24 05:27:41"
"5","12/22/24 11:37:02"
"3","12/11/24 14:56:54"
"0","11/23/24 06:24:18"
"2","11/21/24 09:26:07"
"0","11/21/24 05:53:51"
"3","11/21/24 02:19:42"
"4","11/12/24 19:52:17"
"2","11/12/24 15:32:18"
"1","11/9/24 12:34:52"
"3","11/8/24 15:11:36"
"3","11/8/24 08:31:45"
"4","11/8/24 05:15:47"
"3","11/8/24 00:48:55"
"5","11/7/24 23:19:01"
"4","11/7/24 20:13:03"
"5","11/7/24 13:02:28"
"5","11/7/24 09:18:37"
"5","11/6/24 18:44:20"
"3","11/4/24 16:32:28"
"1","11/4/24 05:01:42"
"3","11/3/24 19:49:10"
"3","11/3/24 14:51:22"
"4","11/3/24 06:53:57"
"5","11/2/24 11:31:55"
"4","10/21/24 17:25:03"
"3","10/21/24 16:49:41"
"2","10/21/24 16:36:34"
"5","10/21/24 14:06:01"
"5","10/21/24 12:52:08"
"4","10/21/24 10:29:18"
"5","10/21/24 08:31:23"
"1","10/21/24 01:50:07"
"1","10/20/24 18:23:49"
"2","10/20/24 10:58:02"
"3","10/20/24 02:39:11"
"3","10/19/24 06:59:50"
"2","10/5/24 15:00:42"
"4","10/5/24 09:34:59"
"4","9/24/24 03:47:29"
"3","9/15/24 14:21:14"
"5","9/13/24 03:36:30"
"5","9/7/24 18:56:15"
"5","9/7/24 17:50:12"
"5","9/7/24 08:51:06"
"5","9/7/24 05:52:54"
"5","8/31/24 15:55:44"
"5","8/31/24 03:37:40"
"5","8/30/24 22:11:32"
"5","8/29/24 17:12:20"
"5","8/29/24 14:27:28"
"5","8/29/24 12:06:02"
"4","8/29/24 08:51:39"
"5","8/29/24 07:12:42"
"4","8/29/24 01:36:07"
"5","8/29/24 01:22:30"
"5","8/28/24 23:18:00"
"4","8/26/24 17:03:57"
"3","8/26/24 13:57:29"
"4","8/26/24 12:40:54"
"4","8/26/24 04:55:06"
"5","8/26/24 04:39:35"
"4","8/26/24 03:16:13"
"5","8/25/24 16:37:35"
"5","8/22/24 17:43:30"
"5","8/22/24 09:44:28"
"5","8/19/24 15:40:27"
"3","8/15/24 18:25:57"
"2","8/15/24 16:03:42"
"3","8/15/24 13:21:01"
"3","8/15/24 11:43:31"
"3","8/15/24 10:06:50"
"5","8/15/24 09:01:52"
"5","8/15/24 05:18:41"
"5","8/15/24 01:25:35"
"3","8/14/24 18:17:42"
"4","8/14/24 10:49:42"
"5","8/14/24 04:44:41"
"5","8/14/24 00:21:01"
"5","8/13/24 22:37:50"
"4","8/11/24 03:03:48"
"5","8/11/24 00:07:13"
"5","8/10/24 18:35:02"
"3","8/5/24 19:27:22"
"3","8/5/24 16:50:15"
"5","8/5/24 12:35:49"
"4","8/5/24 10:14:17"
"3","8/5/24 08:11:15"
"4","8/5/24 08:07:52"
"3","8/5/24 05:35:31"
"5","8/4/24 23:26:51"
"3","8/2/24 14:57:57"
"3","8/2/24 14:15:58"
"5","8/2/24 13:29:01"
"5","8/2/24 08:01:09"
"4","8/2/24 02:25:14"
"5","8/2/24 01:38:05"
"5","8/1/24 19:09:07"
"3","8/1/24 03:23:20"
"3","8/1/24 00:39:36"
"2","8/1/24 00:34:12"
"2","7/31/24 23:45:30"
"2","7/31/24 17:54:58"
"4","7/31/24 12:35:22"
"3","7/31/24 12:10:35"
"2","7/31/24 10:11:35"
"2","7/31/24 08:03:37"
"3","7/31/24 07:52:47"
"4","7/31/24 07:31:03"
"3","7/31/24 06:09:22"
"4","7/31/24 04:52:46"
"4","7/31/24 03:10:06"
"4","7/31/24 02:34:24"
"1","7/30/24 22:17:14"
"2","7/30/24 21:54:02"
"2","7/30/24 20:48:43"
"2","7/30/24 19:34:55"
"4","7/30/24 14:14:09"
"4","7/30/24 10:17:52"
"4","7/30/24 06:30:30"
"4","7/30/24 02:29:07"
"5","7/30/24 00:43:44"
"5","7/29/24 21:42:44"
"3","7/27/24 17:16:45"
"2","7/27/24 16:17:25"
"3","7/27/24 10:58:09"
"3","7/27/24 06:44:54"
"5","7/27/24 06:18:34"
"2","7/23/24 17:55:21"
"3","7/23/24 17:31:24"
"3","7/23/24 16:09:52"
"3","7/23/24 09:24:09"
"4","7/23/24 08:35:59"
"5","7/22/24 23:04:57"
"5","7/19/24 18:41:06"
"4","7/14/24 14:07:31"
"3","7/11/24 18:43:10"
"3","7/11/24 17:11:48"
"4","7/11/24 16:24:12"
"2","7/11/24 15:13:17"
"3","7/11/24 14:53:14"
"5","7/11/24 07:03:43"
"1","7/5/24 18:18:51"
"1","7/5/24 13:39:59"
"2","7/4/24 21:58:04"
"3","7/4/24 14:37:00"
"2","6/29/24 19:01:18"
"3","6/25/24 17:12:00"
"3","6/25/24 14:35:31"
"5","6/25/24 02:27:11"
"5","6/24/24 11:50:24"
"5","6/21/24 16:23:57"
"3","6/18/24 14:17:00"
"3","6/18/24 11:21:18"
"3","6/18/24 09:40:50"
"4","6/18/24 06:59:32"
"4","6/18/24 05:47:44"
"5","6/18/24 03:09:08"
"5","6/17/24 23:10:55"
"5","6/17/24 21:07:41"
