"descrizione","luogo","ora","logseq id","indirizzo","distanza da casa"
"","","10/29/25 06:48:02","","",
"Pompa","55.6623215,12.6196552","10/3/25 22:31:28","","Sundparken 40, 2300 København, Denmark","2.848"
"Lontt","56.20007460176917,12.601880617439747","8/22/25 22:14:50","","Tågalyckevägen 6, 263 91 Höganäs, Sweden","58.784"
"Lont","56.00640496245074,12.320115230977535","8/22/25 22:13:45","","Vej Uden Navn, 3200 Helsinge, Denmark","40.545"
"T","55.6716039,12.5773412","8/22/25 21:59:14","","Christians Brygge 30, 1553 København, Denmark","0.001"
"T","55.6715971,12.5773487","8/22/25 21:58:37","","Christians Brygge 30, 1553 København, Denmark","0.001"
"Romeno","55.6537243,12.5695617","8/18/25 17:24:16","","Artillerivej 159V, 2300 København, Denmark","2.046"
"","55.6541354,12.5700781","8/18/25 17:04:52","","Caprivej 6, København, Denmark","1.994"
"G","55.6540675,12.5700598","8/18/25 16:57:33","","Artillerivej 159G, 2300 København, Denmark","2.002"
"","55.6580383,12.6073207","8/12/25 17:05:45","","","2.411"
"Area 2","55.6541024,12.5709708","4/17/25 14:23:29","","","1.986"
"Cruising prima area","55.6541127,12.5695605","4/17/25 13:56:54","","","2.004"
"Cruising Def ","55.6541503,12.571076","4/17/25 12:56:38","","","1.979"
"Bici due","55.6538426,12.5691313","4/16/25 14:34:36","","","2.04"
"Bici","55.6547034,12.568959","4/16/25 14:30:53","","","1.951"
"Bikwa","55.6545755,12.5697016","4/4/25 17:34:22","","","1.952"
"Cruising amaffelle","55.6545755,12.5697016","4/4/25 17:33:51","","","1.952"
"","55.6500731,12.5962615","8/29/24 00:21:36","","","2.672"
"Con andi e Jonas","55.6747407,12.5280161","8/11/24 16:52:49","","","3.112"
